A PLANILHA NÃO ESTÁ EM ORDEM - DE UM CTRL+F E BUSQUE A CENA COM BASE NO JOGO,,,,,,,,Rota,Scripts Revisados/Total,Progresso%
Título da Cena (Traduzido),SCRIPT,REVISORES,Estado,ROTA,Testado Por,OBS,,Prólogo,3 / 3,"100,00%"
31 de Janeiro,1jftmqc2rr04kclvl0ql71s2ef.epk_dec,PH,Revisado,Prólogo,,,,Dias 1-2,28 / 28,"100,00%"
1 de Fevereiro,2nnosrme1uthcrkbgud6on3r3i.epk_dec,PH,Revisado,Prólogo,,,,% FATE Revisado,200 / 200,"100,0%"
2 de Fevereiro,47o0j3g2jnrgpabg9c4027vmce.epk_dec,PH,Revisado,Prólogo,Eii_izumi,,,% UBW Revisado,60 / 202,"29,7%"
Dia 1: Lembrando de dez anos atrás ~ Manhã / Renascimento,62435qem7s8hbbaniujhmoo0fj.epk_dec,daiso,Revisado,Dias 1-2,"MZwei, mrshirogami",,,% HF Revisado,3 / 291,"1,0%"
Dia 1: Tarefas matinais / Sakura Matou (I),N/A,Cão,Revisado,Dias 1-2,"Cão, Hellise",,,TOTAL,294 / 724,"40,61%"
Dia 1: Treinamento matinal / Vista do dojo,3rvu39vs1ihvildc3qtidrfckr.epk_dec,daiso,Revisado,Dias 1-2,,,,,,
Dia 1: Escola ~ Após a escola / Vida cotidiana (I),4i54h3pr95n0bb4nrk1pmc6ngu.epk_dec,daiso,Revisado,Dias 1-2,,,,,,
Dia 1: Após a escola / Fora da sua liga,3e4unvsprj0cpl5sgj3reuu0vo.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Após a escola / Brownie,69ts7lj7s4g0lpm4df1u8rb3i2.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Café da manhã / Manhã na casa Emiya,6lns58hod04sdc40qlubg2ad5t.epk_dec,daiso,Revisado,Dias 1-2,,,,,,
Dia 1: Retorno para casa à noite / Garota pálida,5iam3ug6tq42o2h3snsohouumg.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Após o jantar / Bom trabalho hoje.,6c6qs29t87drp40a9be1fcq1ug.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Noite / O Ataque dos Mandarins,7ets55u5v8bvll7ant9bq1opav.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Noite / Bom trabalho mais uma vez.,6oudmj4v5ma7jc74j6v9ejpch4.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Noite / Levando Sakura para casa: iniciante,4lb6gr19tncreemam2k4qv6nuv.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Noite / Levando Sakura para casa: especialista,5u1r45n0199cm4gv2qiq1iql92.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 1: Sono / Treinamento (Circuito Mágico),1ukecjrv1801c7m63232aulq3f.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Acordando / Manhã na casa Emiya,030db480772r7shf0167ph98h8.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Jantar / Romance Magical Ranger Force,6klti1g0reolpic08kbb1uccho.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Preparando café com a Sakura / Agouro,11hdii7fsa5r9ic6pekbovdegm.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Após a escola ~ Trabalho / Rin Tohsaka (I),5ao3qg39em0a0cm7ll8drrct1n.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Manhã / Cenário do dojo,1jkfv4a3pc7o7ko4cgd5tc714d.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Manhã / Cenário do dojo,77op0ve72afnbpb8mvghahks2i.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Escola / Vida cotidiana (II),1ftgb6hqang9g8moo0g0786mcj.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Após a escola ~ Trabalho / Rin Tohsaka (I),6q1e4ga184eom0achiu9krf90l.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Após a escola / Decisão,37u3mpb3lgsqe5lm168ibrt5s7.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Após a escola / Sala da Sakura / Sakura Matou (II),138ikjv3t2tv28gr5fsa1qstgb.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Acordando / Pequena mudança,7cac09c68p0g5fff4afts03l7p.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Noite ~ Casa Matou / Avô,08tnnb4fc55hmorah3tjdj8m95.epk_dec,Cão,Revisado,Dias 1-2,,,,,,
Dia 2: Café da manhã / Manhã na casa Emiya,7ai649vkk8km32t0mfqkhodfcp.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Dia 2: Após a escola / Pipeline,59dg2fqvjj9jjmmvuej9hsem3k.epk_dec,PH,Revisado,Dias 1-2,,,,,,
Invocando Saber. VS Lancer / Signo prometido,3ardfarlgkdrslptfu39k64c4q.epk_dec,PH,Revisado,FATE,Eii_izumi,,,,,
Dia 3: Após a escola ~ Noite / Noite do destino,1bqbk1v7ce8ltt89m7c6i5tv1o.epk_dec,PH,Revisado,FATE,Eii_izumi,,,,,
Dia 3: Igreja de Kotomine / Alter ego,5r0qi569ulguidjendct1geeui.epk_dec,PH,Revisado,FATE,,,,,,
Dia 3: Noite / Floresta sem retorno,71ll328srdakbvmk0icckuo7pn.epk_dec,Cão,Revisado,FATE,,,,,,
O inimigo mais forte,7lkkp5kbllusgl1ghs33i864io.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 3: Noite profunda / Cesta de canário dourada,6gf5nb2l505pilfnlnj0f7iinf.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 3: Por fim / Distorção (I),64btf88gjutmnrr895norge2fv.epk_dec,PH,Revisado,FATE,,,,,,
